No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
1,Jimmer Fredette,BYU,37,1323.0,346,765,.452,124,313,.396,252,282,.894,131,49,24,104,128,160,49,1,1068
2,Kemba Walker,UConn,41,1543.0,316,739,.428,75,227,.330,258,315,.819,93,56,53,170,223,184,77,7,965
3,Andrew Goudelock,C of C,37,1302.0,318,699,.455,131,322,.407,110,134,.821,119,66,25,118,143,157,33,7,877
4,MarShon Brooks,PROV,32,1169.0,276,571,.483,67,197,.340,169,219,.772,98,80,72,153,225,80,48,39,788
5,Norris Cole,CSU,36,1285.0,251,572,.439,51,149,.342,227,266,.853,97,87,27,183,210,191,80,3,780
6,Alec Burks,CU,38,1193.0,251,535,.469,28,96,.292,249,302,.825,99,89,91,156,247,112,41,12,779
7,Kevin Foster,SCU,38,1221.0,229,594,.386,140,380,.368,168,210,.800,117,90,14,90,104,141,61,5,766
8,Nolan Smith,DUKE,37,1259.0,260,568,.458,57,163,.350,187,230,.813,118,72,44,122,166,189,45,3,764
9,Charles Jenkins,HOF,33,1232.0,249,482,.517,66,157,.420,182,221,.824,73,66,18,92,110,158,57,21,746
10,Adrian Oliver,SJSU,31,1086.0,246,569,.432,70,171,.409,181,220,.823,96,85,39,126,165,78,23,12,743
11,Derrick Williams,U of A,38,1141.0,226,380,.595,42,74,.568,247,331,.746,100,106,105,209,314,43,37,26,741
12,Klay Thompson,WSU,34,1181.0,240,551,.436,98,246,.398,155,185,.838,115,99,25,153,178,127,56,32,733
13,JaJuan Johnson,PU,34,1203.0,257,520,.494,15,51,.294,169,209,.809,56,53,82,209,291,33,30,79,698
14,Talor Battle,PSU,34,1294.0,225,532,.423,106,287,.369,131,175,.749,67,52,16,134,150,100,26,3,687
15,Devon Beitzel,UNC,32,1134.0,201,421,.477,87,221,.394,198,219,.904,77,56,11,93,104,56,44,0,687
16,Andrew Gonzalez,HBU,30,1111.0,204,491,.415,58,149,.389,220,270,.815,104,70,47,119,166,67,47,14,686
17,Mike Glover,IC,37,1269.0,260,426,.610,0,3,.000,162,260,.623,85,102,138,234,372,34,28,34,682
18,Noah Dahlman,WC,34,1065.0,255,417,.612,0,1,.000,172,227,.758,41,75,94,98,192,41,26,12,682
19,C.J. McCollum,LU,31,1073.0,214,536,.399,52,165,.315,197,233,.845,88,53,58,184,242,67,77,21,677
20,Orlando Johnson,UCSB,32,1065.0,222,467,.475,66,163,.405,164,204,.804,87,67,49,149,198,94,39,16,674
21,Randy Culpepper,UTEP,35,1261.0,227,521,.436,66,204,.324,154,203,.759,82,85,22,80,102,107,71,10,674
22,Jordan Hamilton,UT,36,1159.0,243,552,.440,90,234,.385,95,122,.779,77,64,72,204,276,76,31,23,671
23,Justin Harper,RICH,37,1178.0,245,459,.534,77,172,.448,94,118,.797,56,82,62,194,256,43,23,45,661
24,Brandon Knight,UK,38,1363.0,217,513,.423,87,231,.377,136,171,.795,120,83,25,128,153,159,25,8,657
25,Marcus Morris,KU,38,1076.0,240,421,.570,26,76,.342,148,215,.688,68,95,99,191,290,64,34,22,654
26,John Holland,BU,34,1152.0,203,526,.386,76,230,.330,172,200,.860,73,79,44,152,196,54,47,11,654
27,Donald Sims,ASU,31,1174.0,198,447,.443,78,220,.355,178,206,.864,86,47,11,105,116,112,53,5,652
28,Alex Young,IUPUI,33,1208.0,244,513,.476,40,120,.333,121,165,.733,113,88,69,142,211,78,45,26,649
29,Chris Warren,UM,34,1185.0,193,479,.403,95,279,.341,168,181,.928,68,61,7,69,76,128,23,4,649
30,Andrew Nicholson,STBN,31,1049.0,237,415,.571,6,23,.261,165,232,.711,99,92,52,173,225,32,17,45,645
31,Cameron Jones,NAU,32,1077.0,250,547,.457,37,91,.407,106,133,.797,72,63,31,116,147,101,28,3,643
32,Justin Hurtt,TU,32,1079.0,206,494,.417,86,234,.368,142,175,.811,88,53,16,105,121,77,16,7,640
33,Papa Dia,SMU,35,1177.0,243,421,.577,13,30,.433,140,186,.753,125,109,104,231,335,63,23,77,639
34,C.J. Reed,BCU,34,1315.0,203,522,.389,54,165,.327,179,219,.817,102,87,27,103,130,163,55,1,639
35,Jared Sullinger,OSU,37,1172.0,222,410,.541,3,12,.250,188,267,.704,59,90,131,246,377,43,37,20,635
36,Malcolm Delaney,VT,34,1300.0,185,442,.419,83,205,.405,181,213,.850,102,90,27,92,119,137,56,6,634
37,Tu Holloway,XAV,32,1228.0,168,396,.424,60,174,.345,235,270,.870,110,61,18,140,158,174,46,2,631
