No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
272,Roderick Flemings,UH,28,988.0,173,398,.435,18,75,.240,102,156,.654,58,64,59,115,174,63,21,10,466
273,Sylven Landesberg,UVA,27,868.0,166,375,.443,23,60,.383,111,137,.810,61,57,37,95,132,77,21,8,466
274,Jamie Harris,DREX,32,1128.0,164,413,.397,35,111,.315,102,128,.797,79,88,18,53,71,110,32,1,465
275,Amorrow Morgan,ISU,28,970.0,159,344,.462,29,79,.367,118,170,.694,89,53,22,81,103,45,24,3,465
276,Justin Greene,KSU,34,957.0,158,290,.545,0,0,.000,148,185,.800,70,73,86,147,233,45,27,30,464
277,Nate Rohnert,UD,32,1045.0,141,285,.495,25,77,.325,157,211,.744,78,79,25,157,182,123,39,5,464
278,Verdell Jones,IU,31,974.0,149,373,.399,21,77,.273,144,190,.758,87,53,28,93,121,105,28,13,463
279,Steven Gray,GU,34,1083.0,160,346,.462,51,155,.329,91,117,.778,76,79,26,111,137,99,39,13,462
280,Ian Clark,BEL,31,918.0,163,360,.453,74,184,.402,62,80,.775,93,74,22,80,102,67,33,10,462
281,Tyler Wilkerson,MU,33,867.0,169,326,.518,15,46,.326,108,140,.771,52,87,77,161,238,34,21,34,461
282,Tyrone Lewis,NU,27,923.0,144,373,.386,84,237,.354,86,114,.754,38,72,39,87,126,46,51,19,461
283,Josh Young,DU,32,1100.0,146,332,.440,53,148,.358,116,159,.730,57,78,26,100,126,86,33,1,461
284,Ravern Johnson,MSU,35,1016.0,173,362,.478,87,214,.407,28,43,.651,44,46,26,94,120,23,14,16,461
285,Brenton Butler,FORD,28,960.0,143,427,.335,58,194,.299,117,144,.812,61,57,14,74,88,68,26,0,461
286,Dairese Gary,UNM,35,996.0,125,278,.450,15,44,.341,195,260,.750,63,70,16,81,97,137,36,1,460
287,Trenton Marshall,JSU,27,817.0,154,370,.416,57,155,.368,95,120,.792,52,60,32,106,138,62,44,14,460
288,Marcus Morris,KU,36,889.0,174,305,.570,12,32,.375,99,150,.660,47,94,96,124,220,37,34,12,459
289,Edwin Ubiles,SC,30,926.0,188,398,.472,29,73,.397,54,82,.659,58,38,31,80,111,67,33,7,459
290,Travis Leslie,UGA,31,913.0,169,347,.487,6,11,.545,114,155,.735,82,66,95,116,211,78,40,30,458
291,Darryl Crawford,MAN,31,1033.0,157,380,.413,21,76,.276,123,165,.745,67,69,56,140,196,69,36,14,458
292,Robo Kreps,UIC,30,1070.0,142,398,.357,56,187,.299,116,137,.847,65,38,22,94,116,64,42,1,456
293,Matt Mullery,BU,30,939.0,165,303,.545,8,35,.229,117,164,.713,83,65,40,147,187,86,22,46,455
294,Wendell Preadom,HBU,33,1080.0,137,328,.418,28,85,.329,153,201,.761,67,59,51,110,161,60,45,3,455
295,Noruwa Agho,COM,28,966.0,151,355,.425,58,130,.446,95,130,.731,67,49,28,90,118,53,37,1,455
296,Michael Tveidt,NDSU,29,997.0,181,417,.434,29,96,.302,64,82,.780,61,81,34,130,164,44,35,12,455
297,Justin Nabors,LU,31,957.0,165,322,.512,6,21,.286,118,172,.686,100,80,106,192,298,50,26,21,454
298,Antwan Carter,LONG,31,780.0,196,374,.524,5,18,.278,57,92,.620,69,105,106,159,265,26,25,20,454
299,Quinn McDowell,W&M,33,1085.0,147,298,.493,58,136,.426,100,124,.806,43,75,39,107,146,41,21,4,452
300,Josh Taylor,EKU,33,1061.0,161,341,.472,77,197,.391,52,72,.722,45,101,38,100,138,55,27,17,451
301,Michael Roll,UCLA,32,1144.0,167,357,.468,80,188,.426,36,47,.766,61,62,9,79,88,115,31,3,450
302,Scotty Hopson,UT,37,1024.0,174,391,.445,52,156,.333,50,85,.588,78,55,34,90,124,46,36,7,450
303,Robbie Harman,CMU,30,1014.0,148,349,.424,105,243,.432,48,63,.762,60,83,10,54,64,89,54,5,449
304,Derrick Favors,GT,36,989.0,179,293,.611,0,1,.000,90,143,.629,90,94,108,195,303,37,32,74,448
305,"Kenny Lawson, Jr.",CU,34,821.0,163,303,.538,8,13,.615,114,139,.820,46,65,63,168,231,22,14,50,448
306,Chaisson Allen,NU,33,1167.0,151,343,.440,69,174,.397,77,104,.740,75,53,35,121,156,118,51,1,448
307,Jordan Bitzer,CMU,30,1017.0,143,350,.409,72,176,.409,90,105,.857,54,76,17,133,150,66,44,13,448
308,Clarence Jackson,SC,33,882.0,154,360,.428,71,199,.357,69,95,.726,45,63,15,67,82,27,58,12,448
309,Hassan Whiteside,MU,34,889.0,167,319,.524,3,5,.600,110,187,.588,64,82,92,211,303,10,19,182,447
310,Nic Wise,U of A,31,1021.0,130,337,.386,50,139,.360,137,156,.878,73,72,7,95,102,103,54,2,447
311,Vincent Simpson,HU,32,931.0,154,383,.402,61,200,.305,77,105,.733,99,63,14,53,67,84,52,1,446
312,Andrew Warren,BU,31,1039.0,142,353,.402,62,155,.400,99,114,.868,63,65,28,110,138,47,26,3,445
313,Ben Stywall,UNCG,31,1051.0,161,331,.486,1,8,.125,121,180,.672,79,90,131,192,323,32,48,18,444
314,Troy Cotton,UWGB,35,1149.0,147,350,.420,103,247,.417,46,57,.807,38,81,24,82,106,36,29,2,443
315,Micah Williams,ETSU,35,936.0,148,314,.471,41,116,.353,106,147,.721,68,71,37,80,117,33,27,15,443
316,Jamie Jones,PSU,32,926.0,180,309,.583,0,0,.000,82,111,.739,45,87,99,146,245,31,23,75,442
317,Maze Stallworth,MSU,35,1122.0,140,347,.403,95,233,.408,67,82,.817,52,106,77,99,176,45,47,18,442
