No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
1,Jordan Howard,UCA,35,1259.2,280,613,.457,113,287,.394,207,233,.888,80,41,10,115,125,93,36,0,880
2,Trae Young,OU,32,1133.0,261,618,.422,118,328,.360,236,274,.861,167,57,14,111,125,279,54,8,876
3,Andre Spight,UNC,38,1283.0,293,661,.443,128,320,.400,141,180,.783,112,73,20,128,148,139,44,10,855
4,Mike Daum,SDSU,35,1090.0,273,591,.462,96,226,.425,194,228,.851,72,84,64,295,359,45,17,26,836
5,Jon Elmore,MU,36,1380.0,243,555,.438,98,276,.355,232,281,.826,132,56,15,194,209,242,58,13,816
6,R.J. Cole,HU,33,1252.0,241,612,.394,109,304,.359,191,248,.770,127,87,27,103,130,198,56,0,782
7,Kendrick Nunn,OU,30,1136.0,262,602,.435,134,340,.394,119,142,.838,88,67,27,115,142,113,45,11,777
8,Chris Clemons,CAM,31,1055.0,233,515,.452,95,256,.371,211,245,.861,83,58,10,132,142,95,49,10,772
9,Jock Landale,SMC,36,1199.0,301,470,.640,3,10,.300,156,209,.746,84,109,106,260,366,72,14,36,761
10,Jalen Brunson,VILL,40,1272.0,270,518,.521,86,211,.408,130,162,.802,71,78,12,110,122,184,37,1,756
11,Justin Wright-Foreman,HOF,31,1171.0,264,588,.449,96,262,.366,131,164,.799,69,62,10,93,103,100,25,7,755
12,Fletcher Magee,WC,34,1143.0,253,523,.484,148,337,.439,97,107,.907,56,62,9,91,100,58,31,3,751
13,Bryson Scott,IPFW,33,1025.0,247,541,.457,50,169,.296,202,247,.818,91,65,20,128,148,87,65,5,746
14,Kelan Martin,BU,35,1249.0,259,580,.447,95,261,.364,130,154,.844,84,67,33,186,219,70,26,16,743
15,D'Marcus Simonds,GSU,35,1223.0,277,601,.461,42,144,.292,146,208,.702,127,101,46,155,201,153,60,24,742
16,Roosevelt Smart,UNT,38,1274.0,221,557,.397,133,352,.378,167,188,.888,66,86,17,141,158,35,23,10,742
17,Bogdan Bliznyuk,EWU,35,1228.0,265,502,.528,45,113,.398,166,184,.902,119,83,33,205,238,137,29,10,741
18,Tyler Nelson,FU,33,1205.0,230,547,.420,104,295,.353,168,191,.880,82,55,18,120,138,110,45,3,732
19,Tony Carr,PSU,37,1307.0,245,600,.408,88,203,.433,147,184,.799,85,68,33,150,183,186,30,11,725
20,Jerome Robinson,BC,35,1260.0,249,513,.485,81,198,.409,146,176,.830,96,87,17,109,126,116,30,5,725
21,Joel Hernandez,LIU,35,1152.0,256,555,.461,58,155,.374,148,223,.664,104,90,65,138,203,90,19,17,718
22,Zach Thomas,BU,35,1113.0,206,446,.462,63,165,.382,241,310,.777,103,71,45,272,317,74,35,24,716
23,Andrew Rowsey,MU,35,1143.0,208,495,.420,125,301,.415,175,194,.902,99,83,14,91,105,169,32,7,716
24,Garrison Mathews,LIP,33,1003.0,213,458,.465,90,236,.381,199,249,.799,71,83,41,139,180,58,32,9,715
25,Tyus Battle,SU,37,1443.0,234,586,.399,77,239,.322,167,199,.839,87,74,17,91,108,76,54,7,712
26,Mikal Bridges,VILL,40,1285.0,244,475,.514,104,239,.435,114,134,.851,54,86,54,158,212,77,61,43,706
27,Deandre Ayton,U of A,35,1172.0,276,451,.612,12,35,.343,140,191,.733,69,81,118,287,405,57,20,66,704
28,Junior Robinson,MSMU,32,1162.0,228,511,.446,78,201,.388,169,188,.899,89,87,19,73,92,154,37,1,703
29,C.J. Burks,MU,35,1256.0,260,551,.472,86,236,.364,96,108,.889,108,74,18,126,144,107,36,4,702
30,Peyton Aldridge,DAV,33,1245.0,252,526,.479,77,202,.381,120,141,.851,40,51,46,205,251,82,13,20,701
31,Marvin Bagley III,DUKE,33,1118.0,270,440,.614,23,58,.397,131,209,.627,75,60,132,234,366,50,27,29,694
32,Nicholas King,MTSU,33,1086.0,259,523,.495,42,108,.389,134,183,.732,94,50,78,200,278,65,23,7,694
33,Markus Howard,MU,34,1071.0,239,515,.464,111,275,.404,105,112,.938,85,85,13,95,108,94,33,2,694
34,Kahlil Dukes,NU,33,1120.0,224,482,.465,95,228,.417,149,163,.914,83,56,6,66,72,108,27,1,692
35,Carsen Edwards,PU,37,1092.0,229,500,.458,97,239,.406,131,159,.824,64,65,13,129,142,104,42,8,686
36,Jonathan Stark,MSU,32,1165.0,221,490,.451,110,276,.399,133,149,.893,78,56,12,73,85,126,43,6,685
37,Reid Travis,SU,35,1190.0,250,474,.527,18,61,.295,164,243,.675,72,91,104,202,306,47,26,4,682
38,Jerrick Harding,WSU,31,1019.0,249,470,.530,57,134,.425,127,144,.882,74,57,19,87,106,53,33,5,682
39,Caleb Martin,UNR,36,1199.0,222,490,.453,100,248,.403,134,179,.749,61,95,34,160,194,92,45,21,678
40,Luwane Pipkins,UMass,32,1114.0,228,530,.430,107,251,.426,115,146,.788,108,68,15,99,114,128,48,0,678
41,Kevin Hervey,UTA,33,1064.0,243,545,.446,77,227,.339,113,140,.807,90,60,77,205,282,73,41,20,676
42,Trevon Bluiett,XAV,35,1200.0,202,462,.437,105,252,.417,167,197,.848,70,76,29,164,193,87,26,9,676
43,Devonte' Graham,KU,39,1474.0,199,498,.400,110,271,.406,167,202,.827,109,56,24,133,157,282,62,2,675
44,C.J. Williams,HU,33,1173.0,253,567,.446,74,181,.409,93,119,.782,58,72,23,89,112,20,28,10,673
45,Keita Bates-Diop,OSU,34,1125.0,247,515,.480,66,184,.359,112,141,.794,62,57,52,244,296,56,31,56,672
46,Aaron Holiday,UCLA,33,1244.0,212,460,.461,88,205,.429,159,192,.828,125,87,17,104,121,192,42,8,671
47,Nick Dixon,UTRGV,33,978.0,197,440,.448,54,153,.353,222,279,.796,82,63,52,94,146,78,47,6,670
48,Jairus Lyles,UMBC,33,1152.0,225,512,.439,78,200,.390,137,173,.792,103,65,23,160,183,117,68,6,665
49,Donte Clark,TSU,36,1252.0,203,506,.401,42,149,.282,216,279,.774,102,113,39,148,187,93,39,12,664
50,Zach Lofton,NMSU,33,1054.0,217,476,.456,87,229,.380,142,184,.772,71,67,37,129,166,56,35,4,663
51,Eugene German,NIU,32,991.0,243,516,.471,62,183,.339,111,144,.771,66,52,13,110,123,54,28,5,659
