No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
1,Doug McDermott,CU,36,1138.0,284,518,.548,77,157,.490,189,216,.875,93,56,58,218,276,57,8,2,834
2,Erick Green,VT,32,1172.0,261,550,.475,61,157,.389,218,267,.816,69,44,15,112,127,121,42,6,801
3,Tyler Haws,BYU,36,1235.0,276,571,.483,43,113,.381,185,211,.877,71,54,49,116,165,71,45,5,780
4,Lamont Jones,IC,34,1244.0,246,561,.439,56,178,.315,221,249,.888,114,73,24,77,101,116,40,2,769
5,Russ Smith,U of L,40,1209.0,232,560,.414,62,189,.328,222,276,.804,108,102,41,91,132,116,83,2,748
6,Nate Wolters,SDSU,33,1256.0,242,499,.485,64,169,.379,187,230,.813,77,51,36,148,184,193,57,4,735
7,Deshaun Thomas,OSU,37,1310.0,260,584,.445,72,209,.344,141,169,.834,52,54,63,157,220,48,19,11,733
8,Kevin Foster,SCU,38,1232.0,241,602,.400,120,335,.358,130,166,.783,131,91,15,88,103,165,91,5,732
9,Travis Bader,OU,33,1261.0,206,523,.394,139,360,.386,179,202,.886,47,93,12,83,95,32,30,2,730
10,Trey Burke,UM,39,1371.0,259,560,.463,76,198,.384,133,166,.801,86,73,21,103,124,260,62,20,727
11,Marshall Henderson,UM,36,1134.0,209,549,.381,138,394,.350,166,188,.883,76,59,17,94,111,63,48,2,722
12,Pierre Jackson,BU,36,1252.0,216,506,.427,88,245,.359,192,240,.800,122,80,24,111,135,255,54,0,712
13,Khalif Wyatt,TEM,34,1136.0,209,501,.417,75,237,.316,204,244,.836,106,75,14,84,98,135,58,7,697
14,Anthony Ireland,LMU,34,1275.0,228,552,.413,65,173,.376,167,203,.823,112,71,42,107,149,121,58,1,688
15,Colt Ryan,UE,34,1121.0,219,517,.424,63,160,.394,184,206,.893,74,75,25,96,121,137,50,2,685
16,Greg Gantt,FAU,32,1176.0,235,550,.427,84,217,.387,123,155,.794,78,49,22,111,133,44,25,3,677
17,Isaiah Canaan,MSU,31,1131.0,215,499,.431,94,254,.370,152,185,.822,98,58,19,91,110,133,47,4,676
18,Stan Okoye,VMI,31,1010.0,236,523,.451,59,161,.366,135,202,.668,100,67,79,211,290,82,47,13,666
19,Warren Niles,ORU,35,1275.0,222,507,.438,96,243,.395,121,153,.791,69,69,24,121,145,55,41,6,661
20,Maurice Kemp,ECU,35,1202.0,231,457,.505,16,58,.276,182,241,.755,67,80,87,193,280,85,61,39,660
21,Devon Saddler,UD,33,1256.0,216,505,.428,56,166,.337,168,205,.820,107,68,28,121,149,91,32,6,656
22,Kyle Vinales,CCSU,30,1147.0,229,557,.411,80,219,.365,111,138,.804,100,60,8,53,61,113,42,4,649
23,Jahii Carson,ASU,35,1303.0,231,488,.473,33,103,.320,152,207,.734,124,89,16,112,128,174,41,2,647
24,Mike Muscala,BU,34,1079.0,227,446,.509,4,16,.250,179,227,.789,58,74,98,280,378,78,17,79,637
25,Brandon Davies,BYU,36,1053.0,229,439,.522,5,14,.357,174,255,.682,92,111,74,213,287,88,48,35,637
26,Sherrod Wright,GMU,38,1228.0,203,435,.467,47,134,.351,181,233,.777,99,72,66,120,186,56,38,10,634
27,Frank Gaines,IPFW,32,1089.0,198,457,.433,55,160,.344,181,245,.739,79,82,34,95,129,38,44,16,632
28,Bryce Cotton,PROV,32,1209.0,195,446,.437,98,269,.364,142,179,.793,46,38,23,92,115,92,30,3,630
29,Shane Gibson,SHU,29,951.0,212,474,.447,87,209,.416,115,132,.871,95,76,23,99,122,41,34,9,626
30,Josh Davis,TU,35,1249.0,207,421,.492,1,2,.500,202,282,.716,92,87,143,231,374,61,28,30,617
31,Ray McCallum,UDM,33,1208.0,214,436,.491,42,130,.323,147,205,.717,68,66,43,124,167,147,64,20,617
32,Mason Plumlee,DUKE,36,1248.0,221,369,.599,0,0,.000,173,254,.681,103,92,98,261,359,70,36,53,615
33,Seth Curry,DUKE,35,1130.0,197,424,.465,95,217,.438,123,152,.809,42,60,20,69,89,54,30,6,612
34,Javon McCrea,UB,34,1019.0,240,431,.557,0,1,.000,131,185,.708,99,101,110,157,267,69,45,89,611
35,Allen Crabbe,Cal,33,1196.0,215,468,.459,64,184,.348,113,139,.813,83,69,33,167,200,87,37,23,607
36,Adrien Coleman,BCU,34,1218.0,233,432,.539,8,35,.229,132,262,.504,99,85,107,144,251,100,46,15,606
37,Joel Wright,TSU,34,912.0,194,423,.459,17,53,.321,201,261,.770,123,132,90,143,233,57,44,20,606
38,Jamal Olasewere,LIU,32,969.0,200,388,.515,20,62,.323,185,268,.690,110,108,66,208,274,43,48,20,605
39,Ian Clark,BEL,33,1102.0,217,400,.542,102,222,.459,65,78,.833,88,64,12,96,108,77,53,8,601
40,Brandon Paul,U of I,36,1154.0,184,459,.401,78,240,.325,152,206,.738,96,86,22,135,157,98,44,23,598
41,Brock Motum,WSU,32,1131.0,216,474,.456,45,134,.336,120,162,.741,77,74,61,140,201,35,20,26,597
42,Cody Zeller,IU,36,1063.0,199,354,.562,0,2,.000,196,259,.757,81,80,101,188,289,47,37,45,594
43,Kentavious Caldwell-Pope,UGA,32,1088.0,186,430,.433,84,225,.373,135,169,.799,64,70,37,189,226,58,65,17,591
44,Ben McLemore,KU,37,1190.0,198,400,.495,73,174,.420,120,138,.870,77,69,47,145,192,73,37,25,589
45,Kwame Vaughn,CSUF,32,1116.0,179,399,.449,50,134,.373,180,215,.837,98,84,22,126,148,119,49,7,588
46,Trey Sumler,WCU,32,1207.0,197,449,.439,54,149,.362,140,168,.833,115,70,31,113,144,114,61,2,588
47,Marc Trasolini,SCU,38,1173.0,230,418,.550,14,41,.341,113,156,.724,64,87,100,182,282,34,32,54,587
48,Ramon Galloway,LU,34,1133.0,193,461,.419,94,228,.412,105,127,.827,107,81,25,132,157,127,65,17,585
49,Billy Baron,CAN,34,1183.0,189,431,.439,66,173,.382,140,170,.824,95,45,22,119,141,171,35,0,584
50,Augustine Rubit,USA,30,995.0,192,400,.480,0,5,.000,198,249,.795,74,63,132,183,315,34,21,36,582
