No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
1,Tyler Haws,BYU,35,1125.0,258,538,.480,54,147,.367,206,236,.873,69,48,46,110,156,83,33,9,776
2,Joe Young,UO,36,1322.0,265,592,.448,91,255,.357,124,134,.925,87,51,19,141,160,135,41,1,745
3,Tyler Harvey,EWU,32,1182.0,230,490,.469,128,297,.431,150,176,.852,64,60,20,96,116,82,36,4,738
4,Frank Kaminsky,UW,39,1311.0,267,488,.547,42,101,.416,156,200,.780,63,65,58,262,320,103,33,57,732
5,Chasson Randle,SU,37,1347.0,217,539,.403,90,248,.363,200,228,.877,75,82,11,112,123,112,50,5,724
6,D.J. Balentine,UE,36,1318.0,245,563,.435,74,189,.392,159,212,.750,78,35,18,96,114,116,29,7,723
7,Zeek Woodley,NSU,32,1009.0,262,468,.560,39,98,.398,148,182,.813,38,73,55,105,160,34,33,22,711
8,Ty Greene,USCU,35,1191.0,232,522,.444,103,253,.407,142,189,.751,45,56,30,78,108,74,74,7,709
9,Cameron Payne,MSU,35,1127.0,245,537,.456,84,223,.377,133,169,.787,87,72,21,108,129,209,68,17,707
10,D.J. Newbill,PSU,34,1261.0,243,540,.450,61,165,.370,157,207,.758,90,73,37,123,160,105,44,7,704
11,R.J. Hunter,GSU,35,1294.0,203,514,.395,80,262,.305,202,230,.878,77,85,27,138,165,126,75,35,688
12,A.J. English III,IC,34,1272.0,212,491,.432,106,274,.387,155,197,.787,128,91,26,148,174,172,49,18,685
13,D'Angelo Russell,OSU,35,1188.0,231,515,.449,95,231,.411,118,156,.756,102,74,35,163,198,175,55,11,675
14,David Laury,IC,34,1201.0,244,514,.475,27,71,.380,159,233,.682,101,92,85,244,329,96,27,45,674
15,Amere May,DESU,32,1095.0,227,543,.418,89,230,.387,128,156,.821,93,57,32,101,133,85,32,6,671
16,LaDontae Henton,PROV,34,1257.0,230,516,.446,64,189,.339,145,191,.759,68,76,60,162,222,29,46,16,669
17,Saah Nimley,CSU,31,1106.0,183,477,.384,110,307,.358,187,228,.820,85,68,17,110,127,126,28,1,663
