No.,Players,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS
18,Marcus Thornton,W&M,33,1210.0,215,472,.456,102,254,.402,127,153,.830,77,36,9,83,92,95,21,4,659
19,Jahlil Okafor,DUKE,38,1143.0,279,420,.664,0,0,.000,99,194,.510,95,81,134,188,322,49,29,54,657
20,Jeffrey Short,NSU,34,1155.0,212,426,.498,69,175,.394,155,189,.820,96,63,24,118,142,66,32,14,648
21,K.T. Harrell,AU,35,1156.0,194,428,.453,98,226,.434,162,199,.814,86,80,32,72,104,52,33,2,648
22,Jerome Hill,GWU,34,1126.0,211,446,.473,6,38,.158,216,344,.628,101,76,118,227,345,75,18,23,644
23,Jalan West,NSU,32,1104.0,193,423,.456,86,204,.422,169,196,.862,90,63,18,122,140,245,66,11,641
24,Kyle Wiltjer,GU,38,1049.0,242,448,.540,68,146,.466,86,109,.789,43,62,51,184,235,71,18,25,638
25,Bobby Portis,U of A,36,1076.0,250,466,.536,14,30,.467,115,156,.737,56,78,133,188,321,42,39,50,629
26,Jerian Grant,ND,38,1408.0,204,427,.478,50,158,.316,170,218,.780,82,75,13,102,115,253,63,19,628
27,Olivier Hanlan,BC,32,1204.0,225,496,.454,65,184,.353,110,145,.759,85,68,24,111,135,135,41,1,625
28,Denzel Livingston,UIW,29,1071.0,190,418,.455,46,134,.343,198,246,.805,80,86,43,129,172,85,74,38,624
29,Lawrence Alexander,NDSU,33,1271.0,203,472,.430,104,236,.441,114,141,.809,65,45,14,136,150,56,29,7,624
30,Obi Emegano,ORU,34,1168.0,194,434,.447,29,75,.387,205,260,.788,87,70,26,134,160,76,57,6,622
31,Derrick Marks,BSU,32,999.0,231,468,.494,68,156,.436,91,118,.771,68,72,16,102,118,96,59,14,621
32,John Brown,HP,32,995.0,242,440,.550,0,6,.000,133,176,.756,53,66,101,91,192,39,39,33,617
33,Terry Rozier,U of L,36,1260.0,214,521,.411,48,157,.306,139,176,.790,79,62,43,157,200,108,72,6,615
34,Keifer Sykes,UWGB,33,1157.0,213,471,.452,46,148,.311,142,182,.780,71,72,25,123,148,129,55,5,614
35,Mikh McKinney,CSUS,32,1183.0,219,432,.507,65,151,.430,110,137,.803,68,57,16,75,91,156,78,4,613
36,Buddy Hield,OU,35,1135.0,205,498,.412,93,259,.359,107,130,.823,68,61,56,134,190,67,47,8,610
37,James Sinclair,WCU,31,1180.0,214,532,.402,51,162,.315,122,159,.767,76,65,58,129,187,90,67,14,601
38,Kay Felder,OU,33,1272.0,183,434,.422,47,139,.338,185,224,.826,137,83,25,133,158,252,66,8,598
39,Travis Trice,MSU,39,1309.0,195,491,.397,90,244,.369,118,165,.715,69,70,18,105,123,197,40,6,598
40,Quinn Cook,DUKE,39,1396.0,199,439,.453,102,258,.395,98,110,.891,47,76,15,116,131,103,39,1,598
41,Andrew Rowsey,UNCA,31,1010.0,177,449,.394,102,267,.382,140,152,.921,70,67,19,67,86,89,44,2,596
42,Chavaughn Lewis,MAR,29,1034.0,203,491,.413,41,142,.289,149,224,.665,104,71,26,129,155,78,67,22,596
43,Corey Walden,EKU,32,1108.0,198,362,.547,51,140,.364,147,180,.817,71,79,27,100,127,123,99,5,594
44,Keon Moore,WIN,32,1058.0,188,424,.443,101,234,.432,116,135,.859,59,62,25,141,166,56,44,8,593
45,Ryan Boatright,UConn,34,1216.0,182,430,.423,86,209,.411,142,167,.850,81,64,15,124,139,129,46,8,592
46,Trey Freeman,ODU,35,1131.0,221,502,.440,47,132,.356,102,140,.729,59,54,20,132,152,125,46,4,591
47,Norman Powell,UCLA,36,1244.0,213,467,.456,38,119,.319,127,169,.751,80,91,21,148,169,75,66,16,591
48,Brad Waldow,SMC,31,1068.0,235,421,.558,0,0,.000,120,182,.659,66,73,90,193,283,69,16,23,590
49,Jalen Riley,ETSU,29,798.0,165,426,.387,80,214,.374,177,214,.827,82,95,12,54,66,77,49,2,587
50,Corey Hawkins,UCD,28,934.0,188,374,.503,81,166,.488,129,157,.822,84,53,19,119,138,94,39,6,586
51,Raven Lee,EMU,35,980.0,190,429,.443,70,194,.361,136,171,.795,101,78,25,42,67,54,50,7,586
52,Juan'ya Green,HOF,34,1238.0,158,414,.382,61,182,.335,203,246,.825,86,73,18,128,146,220,48,9,580
53,Justin Moss,UB,33,991.0,203,390,.521,0,4,.000,173,237,.730,73,98,91,211,302,21,32,25,579
54,Jordan Sibert,DAY,36,1215.0,177,388,.456,80,229,.349,145,184,.788,65,73,8,110,118,71,62,5,579
55,Damion Lee,DREX,27,1029.0,170,388,.438,65,169,.385,173,195,.887,50,60,24,141,165,63,41,9,578
56,Damon Lynn,NJIT,33,1203.0,182,499,.365,126,350,.360,88,114,.772,92,67,15,83,98,123,58,2,578
57,D'Angelo Harrison,STJ,33,1150.0,178,429,.415,66,179,.369,155,194,.799,55,114,38,143,181,64,37,14,577
58,Isiah Umipig,SEA,34,1155.0,178,440,.405,123,294,.418,98,116,.845,73,73,12,95,107,98,45,0,577
59,Martez Harrison,UMKC,33,1057.0,176,448,.393,47,168,.280,178,238,.748,86,89,19,60,79,129,60,0,577
60,Dyami Starks,BU,31,1183.0,187,496,.377,98,286,.343,105,115,.913,66,60,16,89,105,47,27,7,577
61,"Juwan Howard, Jr.",UDM,33,1042.0,208,479,.434,64,157,.408,96,113,.850,69,67,35,100,135,78,31,10,576
62,Jameel Warney,SB,35,1156.0,243,452,.538,0,0,.000,89,155,.574,59,74,150,259,409,71,26,87,575
63,Kendall Anthony,RICH,35,1276.0,203,455,.446,60,153,.392,109,138,.790,54,74,10,53,63,89,33,1,575
64,Michael Qualls,U of A,36,1086.0,180,413,.436,55,165,.333,158,204,.775,61,62,59,133,192,60,32,17,573
65,Alec Peters,VAL,34,1039.0,195,399,.489,83,178,.466,97,117,.829,49,67,64,163,227,42,24,11,570
66,Daniel Trist,LC,33,892.0,230,399,.576,0,0,.000,110,141,.780,75,71,76,146,222,43,12,23,570
67,Dennis Mavin,FIU,33,1174.0,198,452,.438,31,99,.313,142,221,.643,118,47,27,147,174,103,41,1,569
68,Melo Trimble,UMD,35,1173.0,150,338,.444,61,148,.412,207,240,.863,86,65,6,129,135,106,44,2,568
69,Jordan Price,LU,33,1054.0,180,465,.387,69,203,.340,139,174,.799,103,94,16,113,129,75,27,8,568
70,Denzel Valentine,MSU,39,1295.0,197,445,.443,102,245,.416,71,86,.826,92,85,46,199,245,167,35,9,567
71,Jalen Cannon,SFC,35,1184.0,210,404,.520,27,81,.333,117,168,.696,58,60,139,228,367,34,24,27,564
72,Tyrone Wallace,Cal,33,1152.0,208,489,.425,28,88,.318,120,198,.606,94,91,30,205,235,131,42,11,564
73,Terran Petteway,UNL,31,1086.0,184,465,.396,68,217,.313,128,180,.711,104,94,17,136,153,87,35,27,564
74,Stefan Moody,UM,34,975.0,168,433,.388,78,222,.351,149,165,.903,68,88,31,85,116,80,57,3,563
75,Jordan Gregory,UM,33,1189.0,176,437,.403,87,228,.382,123,154,.799,70,53,18,93,111,107,20,1,562
76,Kellen Dunham,BU,34,1153.0,171,399,.429,77,188,.410,142,167,.850,51,47,18,69,87,31,19,1,561
77,Shawn Long,LA,34,951.0,205,378,.542,28,77,.364,120,182,.659,78,106,103,243,346,50,22,56,558
78,Aaron White,UI,34,1070.0,171,328,.521,21,59,.356,195,238,.819,41,53,71,177,248,48,45,16,558
79,Jarell Martin,LSU,33,1159.0,202,397,.509,14,52,.269,140,203,.690,92,92,98,207,305,59,38,23,558
80,Sam Dekker,UW,40,1239.0,213,406,.525,50,151,.331,80,113,.708,36,42,77,143,220,49,21,18,556
81,Yogi Ferrell,IU,34,1186.0,181,412,.439,82,197,.416,111,129,.860,65,59,21,89,110,166,24,1,555
82,Trey Lewis,CSU,34,1203.0,186,417,.446,96,227,.423,87,115,.757,78,66,26,122,148,97,42,5,555
83,Bryce Alford,UCLA,36,1307.0,171,432,.396,93,238,.391,119,142,.838,89,54,6,108,114,176,34,1,554
84,Dallas Moore,UNF,35,1139.0,211,439,.481,61,157,.389,71,97,.732,82,42,33,78,111,128,35,1,554
85,Trevor Lacey,NCST,35,1256.0,190,436,.436,78,199,.392,93,126,.738,67,56,27,133,160,121,31,7,551
86,Ameen Tanksley,HOF,34,1105.0,180,402,.448,74,186,.398,117,169,.692,68,82,60,128,188,49,48,8,551
87,Reigarvius Williams,MSU,35,1085.0,199,351,.567,0,1,.000,152,228,.667,48,91,135,158,293,32,26,35,550
88,DeAndre' Bembry,SJU,31,1197.0,199,461,.432,50,153,.327,102,160,.637,89,73,49,191,240,111,60,29,550
89,Sheldon Mac,UM,38,1278.0,192,397,.484,54,151,.358,112,136,.824,49,59,32,146,178,74,34,7,550
90,Craig Bradshaw,BEL,30,950.0,197,401,.491,82,194,.423,74,99,.747,93,62,14,101,115,94,48,11,550
91,Montrezl Harrell,U of L,35,1229.0,213,376,.566,9,37,.243,114,191,.597,69,74,111,210,321,49,33,42,549
92,Zaid Hearst,QU,30,1106.0,197,456,.432,40,144,.278,115,149,.772,67,66,69,113,182,76,15,10,549
93,Quinton Upshur,NAU,38,1131.0,172,454,.379,82,247,.332,123,165,.745,48,106,20,110,130,44,33,41,549
94,Tylor Ongwae,ULM,38,1347.0,198,485,.408,25,103,.243,127,152,.836,93,82,93,159,252,110,37,11,548
95,Anthony Brown,SU,37,1320.0,176,408,.431,79,179,.441,116,146,.795,72,78,42,214,256,94,28,7,547
96,T.J. Price,WKU,32,1069.0,175,395,.443,81,196,.413,115,141,.816,82,86,21,150,171,127,30,2,546
97,Rodney Pryor,RMU,35,1028.0,201,418,.481,81,189,.429,63,84,.750,50,79,41,123,164,62,41,11,546
98,Jelani Hewitt,GSU,31,1087.0,149,424,.351,89,266,.335,159,197,.807,80,57,31,99,130,114,77,10,546
99,Chris Hass,BU,34,1007.0,181,423,.428,82,208,.394,99,119,.832,51,58,20,93,113,38,17,11,543
100,Rakeem Christmas,SU,31,1064.0,203,368,.552,0,1,.000,136,191,.712,78,105,96,183,279,47,29,77,542
101,E.C. Matthews,URI,32,1052.0,172,420,.410,68,209,.325,130,177,.734,115,68,34,112,146,63,24,17,542
102,Ashton Moore,CIT,30,1129.0,173,420,.412,79,206,.383,116,135,.859,102,44,15,82,97,109,29,5,541
103,Julius Brown,U of T,33,1098.0,193,416,.464,68,170,.400,84,98,.857,74,44,10,63,73,144,31,11,538
104,Raheem Appleby,LTU,36,1184.0,200,500,.400,71,216,.329,66,86,.767,39,35,22,75,97,73,46,2,537
105,Desharick Guidry,MSU,31,1092.0,195,400,.487,37,99,.374,108,151,.715,66,86,135,211,346,51,40,20,535
106,Stephen Croone,FU,31,991.0,155,346,.448,55,158,.348,170,226,.752,75,78,26,119,145,80,51,6,535
107,Mike Caffey,LBSU,33,1073.0,195,449,.434,62,175,.354,83,114,.728,88,65,21,110,131,119,61,5,535
108,Seth Tuttle,UNI,35,1063.0,183,303,.604,19,44,.432,149,195,.764,99,75,47,193,240,114,33,20,534
109,Marcus Paige,UNC,38,1263.0,172,416,.413,94,238,.395,96,111,.865,73,62,14,96,110,170,65,8,534
110,Martin Breunig,UM,32,963.0,214,361,.593,2,13,.154,104,141,.738,76,110,83,150,233,60,17,27,534
111,Quincy Taylor,LONG,31,1115.0,188,433,.434,86,179,.480,72,98,.735,93,74,13,79,92,83,40,5,534
112,Matt Mobley,CCSU,31,1147.0,171,428,.400,74,207,.357,118,156,.756,83,64,15,71,86,57,26,6,534
113,Tyler Kalinoski,DAV,32,1112.0,191,410,.466,91,215,.423,60,76,.789,44,85,48,133,181,130,39,13,533
114,Treveon Graham,VCU,33,970.0,172,402,.428,64,168,.381,125,181,.691,38,67,73,162,235,53,20,9,533
115,Johnathan Jordan,TAMU-CC,34,1219.0,167,373,.448,12,42,.286,186,283,.657,88,71,28,104,132,178,63,3,532
116,Chris Hansen,ISU,30,998.0,157,389,.404,80,209,.383,138,165,.836,59,45,11,90,101,70,39,0,532
117,Le'Bryan Nash,OSU,31,982.0,178,385,.462,2,20,.100,174,220,.791,100,92,37,139,176,62,24,29,532
118,Askia Booker,CU,31,936.0,173,447,.387,55,167,.329,131,157,.834,70,56,15,88,103,99,44,2,532
119,Will Cummings,TEM,36,1224.0,159,396,.402,24,105,.229,189,234,.808,71,86,33,114,147,151,67,7,531
120,"Anthony Beane, Jr.",SIU,33,1148.0,187,442,.423,48,144,.333,109,134,.813,59,72,18,69,87,36,41,10,531
121,Alex Hamilton,LTU,36,1098.0,170,395,.430,34,119,.286,156,208,.750,76,63,28,91,119,94,62,9,530
122,Ryan Harrow,GSU,29,923.0,208,413,.504,43,109,.394,71,99,.717,55,43,11,49,60,104,42,3,530
123,Ike Nwamu,MER,35,1163.0,171,400,.427,80,214,.374,108,142,.761,75,62,24,91,115,56,26,14,530
124,Thomas Walkup,SFA,34,943.0,185,326,.567,11,42,.262,148,199,.744,73,100,84,136,220,126,40,6,529
125,Marcquise Reed,RMU,35,973.0,197,402,.490,33,80,.412,102,131,.779,90,72,20,68,88,73,67,1,529
126,Johnny Dee,USD,31,965.0,167,390,.428,80,211,.379,113,123,.919,32,45,11,96,107,40,36,2,527
127,Marvelle Harris,CSUF,32,1168.0,174,402,.433,53,165,.321,125,169,.740,85,96,23,138,161,120,65,8,526
128,Javonte Green,RU,34,891.0,185,340,.544,1,9,.111,154,221,.697,69,85,97,210,307,43,65,29,525
129,DaVonte Lacy,WSU,31,1005.0,158,389,.406,68,206,.330,141,183,.770,56,68,22,59,81,66,20,4,525
130,Josh Williams,LIP,31,978.0,177,369,.480,69,176,.392,101,138,.732,72,87,50,102,152,61,42,5,524
131,Levi Randolph,UA,34,1200.0,169,351,.481,39,112,.348,146,174,.839,48,72,32,142,174,84,50,6,523
132,Emmy Andujar,MAN,32,1019.0,192,375,.512,4,16,.250,135,192,.703,131,93,86,157,243,111,65,7,523
133,Janari Joesaar,UTRGV,31,1053.0,157,341,.460,62,164,.378,147,180,.817,86,80,67,139,206,75,39,18,523
134,Stanley Johnson,U of A,38,1081.0,174,390,.446,43,116,.371,132,178,.742,82,100,75,172,247,63,57,15,523
135,D'Vauntes Smith-Rivera,GU,32,1102.0,157,373,.421,72,186,.387,136,158,.861,52,67,26,108,134,101,51,6,522
136,Georges Niang,ISU,34,1045.0,187,406,.461,46,115,.400,101,125,.808,91,96,35,149,184,117,17,16,521
137,Mike Myers,UMES,33,871.0,169,285,.593,1,6,.167,181,282,.642,105,111,87,145,232,45,39,12,520
138,David Brown,WMY,34,1119.0,165,389,.424,85,237,.359,105,143,.734,63,94,13,103,116,73,45,4,520
139,Christian Wood,UNLV,33,1078.0,187,376,.497,25,88,.284,120,163,.736,79,86,94,235,329,43,11,90,519
140,Ken Williams,USA,33,1087.0,165,439,.376,87,235,.370,102,129,.791,76,66,13,108,121,80,24,9,519
141,Venky Jois,EWU,31,966.0,210,344,.610,3,10,.300,95,176,.540,71,75,82,156,238,63,37,69,518
142,J.J. Avila,CSU,31,995.0,206,373,.552,9,37,.243,97,153,.634,84,81,91,140,231,88,62,11,518
143,Chris Fowler,CMU,32,1093.0,183,361,.507,20,66,.303,132,194,.680,91,77,16,83,99,194,49,7,518
144,"James Blackmon, Jr.",IU,33,989.0,177,421,.420,77,199,.387,87,108,.806,53,51,53,123,176,50,21,2,518
145,Marcus Posley,STBN,31,1114.0,170,445,.382,76,236,.322,101,129,.783,64,71,14,77,91,66,38,1,517
146,Ron Baker,WSU,35,1145.0,171,395,.433,80,209,.383,94,124,.758,39,60,31,126,157,88,45,27,516
147,Maodo Lo,COM,28,957.0,181,370,.489,84,195,.431,70,91,.769,69,62,13,109,122,65,43,16,516
148,Kris Dunn,PROV,33,1123.0,185,390,.474,27,77,.351,118,172,.686,138,101,28,152,180,247,90,10,515
149,Jordan Downing,PC,31,1007.0,184,445,.413,69,194,.356,78,102,.765,63,67,21,112,133,36,19,5,515
150,Jordan Parks,NCCU,33,1042.0,212,321,.660,6,16,.375,84,126,.667,61,98,87,186,273,22,35,31,514
151,Scott Eatherton,NU,35,1055.0,197,333,.592,8,31,.258,111,160,.694,71,92,63,161,224,53,19,43,513
152,Josh Richardson,UT,32,1162.0,184,399,.461,46,128,.359,99,124,.798,85,79,28,115,143,115,67,16,513
153,Stephan Hicks,CSUN,32,1072.0,167,333,.502,16,40,.400,161,198,.813,60,75,61,112,173,46,30,15,511
154,Karl Cochran,WC,35,1090.0,182,468,.389,98,268,.366,48,74,.649,57,67,29,176,205,94,63,36,510
155,Kris Yanku,NAU,37,1111.0,130,393,.331,20,68,.294,230,289,.796,115,94,22,143,165,189,43,1,510
156,Delon Wright,U of U,35,1165.0,165,324,.509,26,73,.356,153,183,.836,68,49,34,139,173,178,73,34,509
157,Jared Brownridge,SCU,32,1080.0,161,365,.441,93,215,.433,94,109,.862,47,58,12,80,92,81,34,4,509
158,Earl Brown,SFU,32,1133.0,188,349,.539,17,52,.327,115,169,.680,106,59,74,181,255,61,34,31,508
159,Schadrac Casimir,IC,35,1201.0,156,365,.427,94,222,.423,102,114,.895,41,77,19,79,98,69,39,2,508
160,Marcus Burton,WC,29,979.0,174,434,.401,61,190,.321,99,122,.811,66,57,15,62,77,46,33,0,508
161,Kyle Wilson,USMA,29,939.0,171,445,.384,74,219,.338,92,117,.786,77,51,14,69,83,54,23,3,508
162,Shannon Evans,UB,33,1139.0,163,395,.413,66,173,.382,115,144,.799,84,69,15,89,104,153,56,10,507
163,Marcus Gilbert,FU,31,1075.0,154,348,.443,56,171,.327,143,184,.777,67,70,49,124,173,38,25,19,507
164,Brandon Clark,SCU,32,1045.0,163,434,.376,50,177,.282,131,153,.856,68,84,12,106,118,124,28,0,507
165,Shonn Miller,COR,30,940.0,168,387,.434,28,104,.269,141,169,.834,53,86,28,226,254,30,38,54,505
166,Jermaine Ruttley,FAMU,29,956.0,181,401,.451,33,112,.295,110,162,.679,69,88,40,154,194,62,46,2,505
167,Damian Jones,VU,35,1020.0,185,330,.561,1,5,.200,133,222,.599,76,89,76,151,227,26,20,70,504
168,Taylor Johns,UCR,31,1067.0,191,411,.465,9,38,.237,113,177,.638,106,91,80,175,255,59,37,52,504
169,Carson Puriefoy,SB,35,1158.0,161,424,.380,51,167,.305,131,173,.757,97,74,17,95,112,118,40,10,504
170,Daishon Knight,ISU,35,1046.0,178,405,.440,45,123,.366,101,117,.863,63,41,26,89,115,85,36,1,502
171,Stacy Davis,PU,32,1024.0,165,349,.473,15,52,.288,156,193,.808,87,74,75,173,248,59,30,35,501
172,Darrun Hilliard,VILL,35,1007.0,170,386,.440,79,204,.387,82,103,.796,42,78,16,93,109,74,63,12,501
173,Ladarius Tabb,AAMU,28,926.0,190,421,.451,46,159,.289,75,124,.605,49,80,91,126,217,20,35,4,501
174,James Daniel,HU,30,972.0,140,414,.338,68,238,.286,152,186,.817,108,56,15,50,65,81,55,0,500
175,Eric Stutz,EKU,32,1025.0,190,312,.609,25,53,.472,94,118,.797,68,57,61,121,182,76,27,21,499
176,Wesley Saunders,HAR,30,1032.0,164,362,.453,31,73,.425,140,180,.778,78,66,52,131,183,128,55,11,499
177,Marcus Keene,YSU,32,1117.0,167,372,.449,91,217,.419,74,94,.787,68,80,13,100,113,88,35,3,499
178,"Larry Nance, Jr.",UW,31,1082.0,185,360,.514,14,42,.333,114,145,.786,70,69,44,180,224,76,37,37,498
179,Nigel Hayes,UW,40,1318.0,166,334,.497,40,101,.396,125,168,.744,51,78,85,162,247,79,34,16,497
180,Rashid Gaston,NSU,32,995.0,204,326,.626,0,0,.000,88,162,.543,66,89,106,200,306,45,8,37,496
181,Stefan Nastic,SU,37,1098.0,179,379,.472,0,0,.000,138,183,.754,75,137,90,149,239,53,13,38,496
182,James Carlton,HU,31,980.0,181,384,.471,20,79,.253,112,148,.757,84,87,59,183,242,31,31,32,494
183,Nic Moore,SMU,34,1179.0,156,371,.420,77,185,.416,104,117,.889,87,64,8,70,78,175,43,1,493
184,Brent Jones,SFC,35,1188.0,157,396,.396,50,152,.329,129,167,.772,120,68,28,91,119,184,66,3,493
185,James Woodard,TU,34,1174.0,158,388,.407,88,238,.370,90,127,.709,46,55,18,149,167,38,30,8,493
186,Justise Winslow,DUKE,39,1135.0,173,356,.486,46,110,.418,100,156,.641,71,108,49,203,252,82,52,34,492
187,Brice Johnson,UNC,38,940.0,207,366,.566,0,0,.000,78,115,.678,58,112,89,206,295,35,26,42,492
188,Vince Hunter,UTEP,33,940.0,182,346,.526,4,10,.400,124,206,.602,92,98,88,217,305,55,41,34,492
189,Robert Brown,UAB,36,1165.0,176,438,.402,61,187,.326,79,107,.738,75,62,29,103,132,109,37,9,492
190,Deondre Parks,SDSU,35,1114.0,167,391,.427,69,190,.363,88,117,.752,62,85,17,125,142,67,22,3,491
191,Connor Hill,U of I,30,921.0,164,365,.449,108,240,.450,55,65,.846,30,56,15,53,68,20,15,0,491
192,C.J. Carter,UNO,29,995.0,176,388,.454,48,149,.322,90,127,.709,85,70,13,54,67,78,43,19,490
193,LeAntwan Luckett,ASU,30,1031.0,158,424,.373,47,152,.309,127,181,.702,68,86,52,51,103,52,40,13,490
194,Marcel Mosley,UAPB,28,997.0,145,360,.403,69,181,.381,130,159,.818,97,53,23,58,81,73,58,0,489
195,Seth Gearhart,RU,32,1085.0,143,324,.441,69,173,.399,133,163,.816,71,89,36,134,170,58,31,12,488
196,Cody Larson,SDSU,35,999.0,172,346,.497,3,9,.333,140,191,.733,65,102,71,181,252,64,22,37,487
197,Anton Grady,CSU,34,1011.0,191,391,.488,4,10,.400,100,155,.645,73,104,78,190,268,59,51,47,486
198,Tyrell Nelson,GWU,35,966.0,195,320,.609,0,2,.000,96,152,.632,56,107,101,128,229,29,22,29,486
199,Damon Sherman-Newsome,CU,33,1026.0,175,380,.461,68,182,.374,68,100,.680,60,51,18,93,111,60,20,5,486
200,Yonel Brown,KENN,32,1184.0,144,350,.411,63,165,.382,135,150,.900,80,55,14,60,74,89,38,0,486
201,Evan Payne,LMU,28,764.0,160,361,.443,37,105,.352,129,163,.791,63,42,21,55,76,45,21,5,486
202,Stephen Maxwell,CSUN,33,1111.0,171,350,.489,0,0,.000,143,194,.737,67,88,108,155,263,19,25,5,485
203,Bruce Beckford,NC A&T,32,1063.0,167,378,.442,26,97,.268,125,152,.822,88,85,70,163,233,45,28,22,485
204,Frank Eaves,ASU,29,959.0,138,361,.382,62,177,.350,143,176,.812,73,63,33,80,113,49,38,0,481
205,Maurice Ndour,OU,30,1047.0,164,339,.484,27,62,.435,124,158,.785,89,83,68,182,250,50,33,68,479
206,Jeromie Hill,UTSA,30,1006.0,183,433,.423,56,156,.359,57,93,.613,73,76,73,171,244,40,33,20,479
207,Phil Forte,OSU,32,1078.0,139,328,.424,70,184,.380,131,156,.840,60,44,3,64,67,55,60,2,479
208,Jordan Mickey,LSU,31,1081.0,191,379,.504,1,9,.111,95,147,.646,101,81,99,209,308,40,29,112,478
209,Shavon Shields,UNL,31,1095.0,161,366,.440,17,87,.195,139,168,.827,84,73,45,141,186,67,33,5,478
210,Aaseem Dixon,NAU,37,1293.0,158,435,.363,88,228,.386,74,95,.779,55,63,28,98,126,85,27,1,478
211,Zach Auguste,ND,37,904.0,190,307,.619,0,0,.000,96,151,.636,61,94,82,157,239,29,25,25,476
212,Jimmy Hall,KSU,30,859.0,193,363,.532,2,5,.400,88,129,.682,68,96,89,142,231,46,15,29,476
213,Malcolm Brogdon,UVA,34,1105.0,158,374,.422,44,128,.344,116,132,.879,58,65,16,118,134,81,24,14,476
214,Xavier Rathan-Mayes,FSU,32,1110.0,165,397,.416,48,171,.281,98,142,.690,108,74,16,96,112,137,35,0,476
215,Fred VanVleet,WSU,35,1104.0,151,351,.430,40,112,.357,133,167,.796,59,50,41,115,156,183,66,4,475
216,Pat Connaughton,ND,38,1351.0,166,356,.466,93,220,.423,50,64,.781,44,75,41,241,282,57,27,36,475
217,Malcolm Hill,U of I,33,1010.0,156,352,.443,42,108,.389,121,155,.781,49,68,61,98,159,44,28,7,475
218,Tyler Larson,USD,33,1141.0,156,362,.431,32,86,.372,130,173,.751,70,85,74,185,259,95,26,8,474
219,Tanner Plomb,USMA,30,846.0,166,391,.425,66,175,.377,76,94,.809,57,61,29,139,168,40,24,12,474
220,Kori Babineaux,JAC,32,1080.0,193,396,.487,2,21,.095,86,145,.593,106,81,18,108,126,127,51,4,474
221,Devareaux Manley,KSU,35,1139.0,144,361,.399,114,287,.397,72,93,.774,37,64,15,84,99,29,20,6,474
222,Aaron Brown,BC,32,1086.0,158,384,.411,60,190,.316,98,143,.685,70,65,15,84,99,64,19,1,474
223,Jesse Reed,AU,33,1269.0,158,336,.470,46,129,.357,111,144,.771,62,75,23,141,164,44,33,19,473
224,Sterling Gibbs,SHU,29,976.0,151,350,.431,75,172,.436,96,137,.701,58,45,15,45,60,110,35,0,473
225,Jacob Parker,SFA,34,922.0,157,307,.511,55,125,.440,103,123,.837,55,95,58,129,187,55,37,14,472
226,Marvin Dominique,SPC,34,1096.0,167,362,.461,37,102,.363,101,135,.748,51,89,84,162,246,17,30,22,472
227,Corey Petros,OU,33,1190.0,201,334,.602,0,1,.000,69,149,.463,50,87,108,164,272,66,17,10,471
228,Jaylen Bland,UCR,31,1103.0,151,395,.382,95,245,.388,74,92,.804,55,59,24,124,148,49,43,11,471
229,Demetrius Jackson,ND,38,1318.0,167,329,.508,54,126,.429,82,110,.745,57,71,44,93,137,116,59,12,470
