Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,47,2,593,101,178,.567,0,0,,101,178,.567,.567,47,94,.500,58,111,169,25,15,24,38,72,249
Jaylen Adams,PG,24,7,0,18,1,8,.125,0,2,.000,1,6,.167,.125,0,0,,0,3,3,2,0,0,0,1,2
Steven Adams,C,27,45,45,1268,156,250,.624,0,3,.000,156,247,.632,.624,47,105,.448,176,227,403,89,41,30,67,93,359
Bam Adebayo,C,23,44,44,1480,317,564,.562,2,8,.250,315,556,.567,.564,211,253,.834,105,316,421,235,38,52,118,97,847
LaMarcus Aldridge,C,35,23,20,600,124,268,.463,29,77,.377,95,191,.497,.517,33,39,.846,17,89,106,43,10,22,21,40,310
Ty-Shon Alexander,SG,22,5,0,15,1,5,.200,1,3,.333,0,2,.000,.300,1,2,.500,0,2,2,1,0,0,0,1,4
Nickeil Alexander-Walker,SG,22,41,10,851,158,378,.418,65,187,.348,93,191,.487,.504,39,52,.750,10,116,126,81,40,21,57,77,420
Grayson Allen,SG,25,34,22,824,112,265,.423,74,180,.411,38,85,.447,.562,47,52,.904,14,98,112,70,35,7,33,44,345
Jarrett Allen,C,22,44,26,1262,209,330,.633,5,12,.417,204,318,.642,.641,152,216,.704,134,302,436,74,20,74,65,70,575
Al-Farouq Aminu,PF,30,18,14,379,36,90,.400,7,32,.219,29,58,.500,.439,16,19,.842,20,76,96,29,17,9,27,24,95
Kyle Anderson,PF,27,45,45,1215,204,432,.472,59,166,.355,145,266,.545,.541,88,116,.759,31,229,260,151,52,35,60,71,555
Giannis Antetokounmpo,PF,26,45,45,1529,468,829,.565,51,169,.302,417,660,.632,.595,307,447,.687,80,432,512,277,51,60,169,129,1294
Kostas Antetokounmpo,PF,23,9,0,35,2,5,.400,0,0,,2,5,.400,.400,2,6,.333,2,10,12,0,2,3,8,3,6
Thanasis Antetokounmpo,SF,28,37,1,363,51,91,.560,7,20,.350,44,71,.620,.599,12,26,.462,36,48,84,28,14,7,29,48,121
Carmelo Anthony,PF,36,48,3,1233,234,564,.415,84,220,.382,150,344,.436,.489,104,120,.867,25,130,155,80,38,32,49,107,656
Cole Anthony,PG,20,25,17,667,101,269,.375,27,83,.325,74,186,.398,.426,46,55,.836,20,91,111,94,17,11,51,51,275
OG Anunoby,SF,23,31,31,1033,168,346,.486,73,180,.406,95,166,.572,.591,57,75,.760,47,138,185,58,53,25,54,85,466
Ryan Arcidiacono,PG,26,30,0,332,33,86,.384,16,50,.320,17,36,.472,.477,12,16,.750,3,43,46,42,7,0,7,35,94
Trevor Ariza,SF,35,9,6,221,22,65,.338,11,38,.289,11,27,.407,.423,9,13,.692,4,33,37,12,5,7,4,10,64
D.J. Augustin,PG,33,46,6,895,100,257,.389,61,163,.374,39,94,.415,.508,56,61,.918,16,59,75,146,25,1,52,44,317
Deni Avdija,SF,20,44,22,1010,107,254,.421,43,137,.314,64,117,.547,.506,20,32,.625,17,196,213,51,25,10,30,120,277
Deandre Ayton,C,22,48,48,1461,299,492,.608,4,17,.235,295,475,.621,.612,95,125,.760,157,361,518,71,19,53,79,144,697
Udoka Azubuike,C,21,12,0,49,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,4,9,13,0,1,4,3,8,12
Dwayne Bacon,SG,25,50,32,1284,192,484,.397,48,153,.314,144,331,.435,.446,90,108,.833,16,134,150,62,27,4,34,83,522
Marvin Bagley III,PF,21,37,37,951,209,416,.502,34,96,.354,175,320,.547,.543,61,109,.560,91,184,275,35,18,19,49,90,513
LaMelo Ball,PG,19,41,21,1174,237,526,.451,81,216,.375,156,310,.503,.528,97,123,.789,54,186,240,251,65,14,115,116,652
Lonzo Ball,PG,23,39,39,1242,204,479,.426,122,311,.392,82,168,.488,.553,36,46,.783,23,139,162,220,53,21,82,81,566
Mo Bamba,C,22,28,0,323,65,138,.471,15,49,.306,50,89,.562,.525,14,24,.583,35,81,116,12,5,25,14,49,159
Desmond Bane,SG,22,43,11,970,152,318,.478,74,164,.451,78,154,.506,.594,28,33,.848,17,117,134,60,28,7,40,84,406
Harrison Barnes,PF,28,47,47,1688,248,507,.489,71,193,.368,177,314,.564,.559,165,199,.829,54,257,311,170,37,9,72,61,732
RJ Barrett,SG,20,50,50,1700,326,735,.444,61,175,.349,265,560,.473,.485,148,203,.729,54,243,297,154,37,13,98,130,861
Will Barton,SF,30,46,42,1432,215,501,.429,79,210,.376,136,291,.467,.508,65,87,.747,32,162,194,145,40,22,77,74,574
Keita Bates-Diop,SF,25,16,0,118,11,32,.344,5,15,.333,6,17,.353,.422,7,10,.700,5,15,20,7,6,1,1,5,34
Nicolas Batum,SF,32,48,38,1372,137,299,.458,86,203,.424,51,96,.531,.602,40,48,.833,40,196,236,117,55,18,38,78,400
Aron Baynes,C,34,46,31,850,109,258,.422,20,86,.233,89,172,.517,.461,26,36,.722,75,158,233,42,13,20,38,103,264
