Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Quincy Acy,PF,22,29,0,342,42,75,.560,1,2,.500,41,73,.562,.567,31,38,.816,30,47,77,11,13,15,17,53,116
Jeff Adrien,PF,26,52,5,713,72,168,.429,0,2,.000,72,166,.434,.429,65,100,.650,68,128,196,36,18,27,32,80,209
Arron Afflalo,SF,27,64,64,2307,397,905,.439,72,240,.300,325,665,.489,.478,191,223,.857,29,210,239,206,40,11,138,137,1057
Josh Akognon,PG,26,3,0,9,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,1,1,1,0,0,0,3,5
Cole Aldrich,C,24,45,0,388,44,80,.550,0,0,,44,80,.550,.550,12,20,.600,30,90,120,9,5,23,23,60,100
LaMarcus Aldridge,PF,27,74,74,2790,638,1318,.484,2,14,.143,636,1304,.488,.485,282,348,.810,175,495,670,192,62,91,143,187,1560
Lavoy Allen,C,23,79,37,1669,206,454,.454,0,1,.000,206,453,.455,.454,43,60,.717,159,236,395,73,24,55,55,180,455
Ray Allen,SG,37,79,0,2035,292,651,.449,139,332,.419,153,319,.480,.555,140,158,.886,40,177,217,135,67,15,103,129,863
Tony Allen,SG,31,79,79,2109,284,638,.445,3,24,.125,281,614,.458,.447,134,187,.717,121,242,363,98,119,44,94,211,705
Al-Farouq Aminu,SF,22,76,71,2066,225,474,.475,4,19,.211,221,455,.486,.479,101,137,.737,139,446,585,103,92,51,116,153,555
Lou Amundson,PF,30,39,0,372,32,81,.395,0,0,,32,81,.395,.395,12,36,.333,48,58,106,11,16,12,19,53,76
Chris Andersen,C,34,42,0,624,71,123,.577,2,3,.667,69,120,.575,.585,63,93,.677,57,115,172,17,16,44,24,89,207
Alan Anderson,SF,30,65,2,1495,236,616,.383,95,285,.333,141,331,.426,.460,126,147,.857,34,114,148,103,48,7,80,131,693
James Anderson,SG-SF,23,39,2,401,52,126,.413,21,60,.350,31,66,.470,.496,24,28,.857,18,54,72,42,15,5,25,25,149
Ryan Anderson,PF,24,81,22,2503,472,1115,.423,213,557,.382,259,558,.464,.519,152,180,.844,191,328,519,97,42,31,97,179,1309
Carmelo Anthony,PF,28,67,67,2482,669,1489,.449,157,414,.379,512,1075,.476,.502,425,512,.830,134,326,460,171,52,32,175,205,1920
Joel Anthony,C,30,62,3,566,35,68,.515,0,0,,35,68,.515,.515,17,28,.607,45,70,115,13,13,42,22,49,87
Trevor Ariza,SF,27,56,15,1471,188,451,.417,76,209,.364,112,242,.463,.501,78,95,.821,44,222,266,113,72,20,84,72,530
Darrell Arthur,PF,24,59,3,970,162,359,.451,5,18,.278,157,341,.460,.458,33,46,.717,68,101,169,33,24,33,43,126,362
Ömer Aşık,C,26,82,82,2464,332,614,.541,0,1,.000,332,613,.542,.541,168,299,.562,275,681,956,75,46,87,173,223,832
D.J. Augustin,PG,25,76,5,1226,103,294,.350,67,190,.353,36,104,.346,.464,83,99,.838,20,71,91,170,34,3,68,64,356
Gustavo Ayón,C,27,55,3,734,92,167,.551,0,0,,92,167,.551,.551,20,50,.400,60,139,199,71,22,17,47,107,204
Jeff Ayres,PF,25,37,0,369,61,126,.484,2,4,.500,59,122,.484,.492,21,23,.913,29,75,104,15,6,12,23,44,145
Luke Babbitt,PF,23,62,0,730,86,234,.368,62,178,.348,24,56,.429,.500,10,13,.769,15,122,137,29,14,5,22,82,244
Leandro Barbosa,PG,30,41,2,513,83,193,.430,18,47,.383,65,146,.445,.477,31,41,.756,8,38,46,58,17,6,21,51,215
J.J. Barea,PG,28,74,2,1713,316,758,.417,97,280,.346,219,478,.458,.481,105,134,.784,34,173,207,294,32,0,145,131,834
Andrea Bargnani,PF,27,35,25,1003,170,426,.399,38,123,.309,132,303,.436,.444,65,77,.844,26,102,128,38,21,23,54,64,443
Harrison Barnes,SF,20,81,81,2058,276,628,.439,52,145,.359,224,483,.464,.481,144,190,.758,53,280,333,98,52,14,101,140,748
Matt Barnes,SF,32,80,4,2058,312,675,.462,111,325,.342,201,350,.574,.544,87,117,.744,111,255,366,123,82,63,90,233,822
Earl Barron,C,31,12,2,159,18,51,.353,0,0,,18,51,.353,.353,3,7,.429,22,39,61,5,5,6,11,24,39
Will Barton,SG,22,73,5,894,118,309,.382,9,65,.138,109,244,.447,.396,50,65,.769,36,109,145,58,34,9,60,56,295
Brandon Bass,PF,27,81,69,2239,286,589,.486,0,2,.000,286,587,.487,.486,129,150,.860,129,296,425,84,44,64,80,188,701
Shane Battier,SF,34,72,20,1786,152,362,.420,136,316,.430,16,46,.348,.608,32,38,.842,37,128,165,72,41,55,34,149,472
Nicolas Batum,SF,24,73,73,2807,352,833,.423,165,444,.372,187,389,.481,.522,178,210,.848,97,315,412,360,91,83,190,139,1047
Jerryd Bayless,PG,24,80,4,1765,260,621,.419,71,201,.353,189,420,.450,.476,102,122,.836,22,154,176,264,59,17,120,168,693
Aron Baynes,C,26,16,0,141,18,36,.500,0,1,.000,18,35,.514,.500,7,12,.583,12,20,32,5,1,6,11,23,43
Kent Bazemore,SG,23,61,0,267,43,116,.371,10,34,.294,33,82,.402,.414,27,44,.614,5,17,22,22,17,4,18,27,123
Bradley Beal,SG,19,56,46,1745,282,687,.410,91,236,.386,191,451,.424,.477,125,159,.786,43,168,211,137,50,29,90,113,780
Michael Beasley,SF,24,75,20,1554,310,766,.405,45,144,.313,265,622,.426,.434,94,126,.746,52,230,282,111,31,34,144,107,759
Rodrigue Beaubois,PG,24,45,0,549,65,176,.369,21,72,.292,44,104,.423,.429,30,38,.789,9,48,57,84,19,4,33,54,181
Marco Belinelli,SG,26,73,27,1882,241,610,.395,79,221,.357,162,389,.416,.460,141,168,.839,13,127,140,148,44,6,82,140,702
Patrick Beverley,PG,24,41,0,713,79,189,.418,36,96,.375,43,93,.462,.513,34,41,.829,45,64,109,117,37,21,44,83,228
Andris Biedriņš,C,26,53,9,495,10,21,.476,0,0,,10,21,.476,.476,4,13,.308,34,119,153,14,15,42,14,101,24
Chauncey Billups,SG,36,22,22,418,53,132,.402,33,90,.367,20,42,.476,.527,45,48,.938,2,30,32,49,12,1,26,25,184
Bismack Biyombo,C,20,80,65,2186,156,346,.451,0,0,,156,346,.451,.451,74,142,.521,194,388,582,35,28,143,82,195,386
DeJuan Blair,PF,23,61,16,851,142,271,.524,0,1,.000,142,270,.526,.524,44,70,.629,66,164,230,45,37,10,49,112,328
Steve Blake,PG,32,45,13,1175,114,270,.422,72,171,.421,42,99,.424,.556,27,35,.771,21,111,132,173,34,6,62,83,327
Andray Blatche,C,26,82,8,1555,346,676,.512,3,22,.136,343,654,.524,.514,148,216,.685,161,256,417,85,86,54,123,163,843
Eric Bledsoe,PG,23,76,12,1553,253,568,.445,31,78,.397,222,490,.453,.473,106,134,.791,78,147,225,233,109,55,137,112,643
Keith Bogans,SG,32,74,23,1408,108,284,.380,84,245,.343,24,39,.615,.528,11,17,.647,16,104,120,76,28,4,49,108,311
Andrew Bogut,C,28,32,32,786,83,184,.451,1,1,1.000,82,183,.448,.454,19,38,.500,68,177,245,67,20,55,35,85,186
Matt Bonner,PF,32,68,4,909,112,230,.487,53,120,.442,59,110,.536,.602,11,15,.733,25,104,129,36,17,19,16,86,288
Trevor Booker,PF,25,48,14,887,108,220,.491,0,5,.000,108,215,.502,.491,40,72,.556,98,141,239,40,32,16,31,95,256
Carlos Boozer,PF,31,79,79,2546,544,1140,.477,0,2,.000,544,1138,.478,.477,193,264,.731,175,596,771,179,66,28,176,239,1281
Chris Bosh,C,28,74,74,2454,485,907,.535,21,74,.284,464,833,.557,.546,241,302,.798,131,370,501,123,66,101,128,168,1232
Avery Bradley,PG,22,50,50,1435,192,478,.402,40,126,.317,152,352,.432,.444,37,49,.755,30,81,111,104,64,19,72,129,461
Elton Brand,C,33,72,18,1527,226,478,.473,0,1,.000,226,477,.474,.473,66,93,.710,130,300,430,70,50,90,57,192,518
Corey Brewer,SF,26,82,2,2003,375,883,.425,91,307,.296,284,576,.493,.476,149,216,.690,55,180,235,124,118,23,102,154,990
Ronnie Brewer,SF,27,60,34,853,70,198,.354,23,76,.303,47,122,.385,.412,16,39,.410,42,98,140,50,43,6,18,33,179
Aaron Brooks,PG,28,53,20,997,143,316,.453,50,134,.373,93,182,.511,.532,40,52,.769,13,67,80,114,30,10,67,94,376
MarShon Brooks,SG,24,73,2,912,155,335,.463,15,55,.273,140,280,.500,.485,69,94,.734,32,72,104,76,34,16,69,93,394
Kwame Brown,C,30,22,11,269,17,37,.459,0,0,,17,37,.459,.459,7,19,.368,23,51,74,9,6,10,8,37,41
Shannon Brown,SG,27,59,22,1402,240,571,.420,39,141,.277,201,430,.467,.454,98,125,.784,44,105,149,108,59,15,74,92,617
Kobe Bryant,SG,34,78,78,3013,738,1595,.463,132,407,.324,606,1188,.510,.504,525,626,.839,66,367,433,469,106,25,287,173,2133
Chase Budinger,SF,24,23,1,508,79,191,.414,26,81,.321,53,110,.482,.482,32,42,.762,15,56,71,25,14,7,23,29,216
Alec Burks,SG,21,64,0,1137,163,388,.420,33,92,.359,130,296,.439,.463,92,129,.713,37,108,145,92,35,13,74,114,451
