Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kyrylo Fesenko,C,25,3,0,17,2,5,.400,0,0,,2,5,.400,.400,4,6,.667,2,7,9,1,2,0,0,2,8
Landry Fields,SG,23,66,62,1894,236,513,.460,31,121,.256,205,392,.523,.490,77,137,.562,59,219,278,169,79,17,102,99,580
Derek Fisher,PG,37,63,43,1508,129,348,.371,35,109,.321,94,239,.393,.421,57,67,.851,12,109,121,170,51,4,73,117,350
Jonny Flynn,PG,22,29,1,416,46,131,.351,10,34,.294,36,97,.371,.389,29,39,.744,8,31,39,96,6,2,36,23,131
Jeff Foote,C,24,4,0,39,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,5,6,0,0,1,2,5,4
Gary Forbes,SG,26,48,2,713,112,271,.413,29,83,.349,83,188,.441,.467,66,91,.725,27,75,102,54,24,4,54,56,319
T.J. Ford,PG,28,14,0,191,19,43,.442,2,8,.250,17,35,.486,.465,11,14,.786,3,15,18,45,9,2,23,23,51
Courtney Fortson,PG,23,10,0,95,11,32,.344,3,13,.231,8,19,.421,.391,10,15,.667,6,9,15,10,3,0,10,5,35
Jeff Foster,C,35,11,0,141,9,18,.500,1,1,1.000,8,17,.471,.528,6,9,.667,18,24,42,4,8,1,7,26,25
Randy Foye,SG,28,65,48,1682,256,644,.398,127,329,.386,129,315,.410,.496,73,85,.859,25,113,138,146,46,24,73,130,712
Jimmer Fredette,PG,22,61,7,1135,172,446,.386,78,216,.361,94,230,.409,.473,40,48,.833,17,56,73,108,30,3,67,73,462
Channing Frye,PF,28,64,59,1669,255,613,.416,91,263,.346,164,350,.469,.490,73,82,.890,71,308,379,88,42,70,63,176,674
Dan Gadzuric,C,33,2,0,13,0,2,.000,0,0,,0,2,.000,.000,0,2,.000,1,4,5,0,1,1,1,4,0
Sundiata Gaines,SG,25,57,12,793,102,271,.376,28,82,.341,74,189,.392,.428,59,96,.615,27,81,108,126,55,2,52,58,291
Danilo Gallinari,SF,23,43,40,1351,193,466,.414,60,183,.328,133,283,.470,.479,182,209,.871,28,174,202,116,42,23,68,86,628
Francisco García,SF,30,49,3,798,86,229,.376,38,131,.290,48,98,.490,.459,24,30,.800,11,88,99,31,36,37,22,73,234
Kevin Garnett,C,35,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947
Marc Gasol,C,27,65,65,2370,357,740,.482,1,12,.083,356,728,.489,.483,237,317,.748,120,459,579,204,62,121,121,201,952
Pau Gasol,PF,31,65,65,2430,459,917,.501,7,27,.259,452,890,.508,.504,204,261,.782,183,495,678,237,37,88,142,127,1129
Rudy Gay,SF,25,65,65,2422,485,1067,.455,54,173,.312,431,894,.482,.480,208,263,.791,130,287,417,147,95,55,161,138,1232
Alonzo Gee,SG,24,63,31,1827,227,551,.412,44,137,.321,183,414,.442,.452,167,212,.788,101,221,322,113,83,17,114,149,665
Paul George,SG,21,66,66,1958,281,639,.440,90,234,.385,191,405,.472,.510,146,182,.802,56,314,370,158,108,38,117,191,798
Daniel Gibson,SG,25,35,7,916,87,248,.351,55,139,.396,32,109,.294,.462,34,43,.791,11,90,101,76,26,16,45,69,263
Taj Gibson,PF,26,63,0,1284,200,404,.495,0,0,,200,404,.495,.495,84,135,.622,135,197,332,47,27,81,60,131,484
Manu Ginóbili,SG,34,34,7,792,150,285,.526,52,126,.413,98,159,.616,.618,88,101,.871,18,98,116,151,24,12,64,56,440
Mickell Gladness,PF,25,26,7,252,25,59,.424,0,0,,25,59,.424,.424,6,12,.500,14,44,58,5,4,20,7,32,56
