Player,Position,Age,Games,GS,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FG2,FG2A,FG2_PCT,EFG_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chasson Randle,PG,27,15,2,307,27,64,.422,15,42,.357,12,22,.545,.539,13,16,.813,2,28,30,38,5,1,15,25,82
Julius Randle,PF,26,44,44,1631,366,775,.472,89,208,.428,277,567,.489,.530,203,257,.790,65,414,479,259,40,10,146,136,1024
Cam Reddish,SF,21,26,21,750,96,263,.365,33,126,.262,63,137,.460,.428,67,82,.817,22,82,104,35,33,9,34,68,292
J.J. Redick,SG,36,31,0,576,87,214,.407,51,140,.364,36,74,.486,.526,45,47,.957,3,49,52,40,9,2,25,37,270
Paul Reed,PF,21,7,0,64,11,24,.458,0,3,.000,11,21,.524,.458,0,0,,7,5,12,3,1,5,5,4,22
Naz Reid,C,21,42,13,826,185,352,.526,36,105,.343,149,247,.603,.577,70,99,.707,46,149,195,50,25,47,48,115,476
Nick Richards,PF,23,11,0,38,3,6,.500,0,0,,3,6,.500,.500,7,11,.636,2,6,8,0,0,0,1,5,13
Josh Richardson,SG,27,33,33,1056,155,345,.449,53,164,.323,102,181,.564,.526,72,77,.935,31,81,112,89,32,12,48,87,435
Austin Rivers,SG,28,21,2,442,58,135,.430,28,77,.364,30,58,.517,.533,10,14,.714,5,42,47,42,12,0,22,32,154
Andre Roberson,SG,29,5,0,63,2,14,.143,1,8,.125,1,6,.167,.179,1,2,.500,7,8,15,4,3,1,2,4,6
Duncan Robinson,SF,26,44,44,1451,182,438,.416,143,374,.382,39,64,.609,.579,44,53,.830,4,164,168,73,25,10,52,105,551
Glenn Robinson III,SF,27,23,2,369,42,99,.424,16,44,.364,26,55,.473,.505,21,23,.913,11,34,45,20,4,3,11,23,121
Jerome Robinson,SG,23,13,3,221,22,67,.328,9,31,.290,13,36,.361,.396,15,17,.882,2,31,33,18,6,2,11,21,68
Mitchell Robinson,C,22,29,27,825,112,170,.659,0,0,,112,170,.659,.659,24,50,.480,108,136,244,17,32,44,24,83,248
Isaiah Roby,PF,22,38,18,869,131,252,.520,21,62,.339,110,190,.579,.562,59,79,.747,59,150,209,66,33,25,62,104,342
Rajon Rondo,PG,34,27,2,402,44,110,.400,17,45,.378,27,65,.415,.477,1,2,.500,4,51,55,95,19,2,39,25,106
Derrick Rose,PG,32,25,3,588,126,293,.430,23,61,.377,103,232,.444,.469,63,74,.851,7,48,55,112,29,10,48,29,338
Terrence Ross,SG,29,36,2,1066,205,495,.414,81,225,.360,124,270,.459,.496,84,94,.894,12,115,127,81,39,17,61,68,575
Terry Rozier,SG,26,41,41,1352,295,619,.477,136,324,.420,159,295,.539,.586,108,127,.850,20,133,153,136,55,13,75,72,834
Ricky Rubio,PG,30,42,27,1107,120,299,.401,35,112,.313,85,187,.455,.460,88,105,.838,19,113,132,286,55,1,83,93,363
D'Angelo Russell,PG,24,20,19,583,139,326,.426,59,148,.399,80,178,.449,.517,48,64,.750,9,43,52,101,22,10,54,39,385
Domantas Sabonis,PF,24,43,43,1554,327,626,.522,34,111,.306,293,515,.569,.550,175,242,.723,107,375,482,265,51,25,146,150,863
Luka Šamanić,PF,21,14,1,143,23,48,.479,8,25,.320,15,23,.652,.563,9,17,.529,8,28,36,4,4,3,9,14,63
JaKarr Sampson,PF,27,15,0,97,15,32,.469,1,5,.200,14,27,.519,.484,8,10,.800,8,21,29,1,2,3,6,11,39
Dario Šarić,C,26,25,0,464,91,196,.464,28,79,.354,63,117,.538,.536,40,45,.889,21,85,106,32,14,3,37,57,250
Tomáš Satoranský,SG,29,32,7,721,89,172,.517,25,61,.410,64,111,.577,.590,42,46,.913,13,68,81,152,21,9,54,43,245
Dennis Schröder,SG,27,40,40,1258,206,478,.431,40,126,.317,166,352,.472,.473,148,178,.831,21,118,139,187,41,9,101,108,600
Mike Scott,PF,32,25,4,416,33,87,.379,23,67,.343,10,20,.500,.511,6,10,.600,6,58,64,13,12,2,14,30,95
Collin Sexton,SG,22,38,38,1363,334,699,.478,66,169,.391,268,530,.506,.525,177,219,.808,27,78,105,162,42,4,108,104,911
